subject_id,condition,task,freq,emg_coh_arearate,emg_coh_med,emg_hp_coh_arearate,emg_hp_coh_med
P14,75g,180,3,3.437931715,0.922076719,3.46842313,0.920027735
P14,75g,180,4,2.649990132,0.909830413,2.701598579,0.909463722
P14,75g,90,1,4.413888624,0.937092084,4.16935715,0.934012664
P14,75g,90,2,3.427452479,0.924597876,3.776291909,0.928954743
P14,75g,90,3,3.426879358,0.923791254,3.694813258,0.923439562
P14,75g,90,4,2.718215684,0.911379757,2.688508931,0.911009195
P14,75g,90,1,3.675263663,0.926568783,4.069894535,0.931618537
P14,75g,90,2,3.697315436,0.928084181,3.93029722,0.930948002
P14,75g,90,3,3.603930968,0.921365685,3.572003835,0.92150089
P14,75g,90,4,2.593863854,0.911406762,2.604985618,0.908830326
P14,75g,90,1,4.464481909,0.938355478,4.234419398,0.928089313
P14,75g,90,2,3.830649744,0.92685819,3.529929911,0.92390182
P14,75g,90,3,3.463345331,0.923881505,3.617541201,0.921928643
P14,75g,90,4,2.725989771,0.914729126,2.706004925,0.91048187
P15,0g,0,1,3.878471268,0.951371731,4.106956283,0.955348613
P15,0g,0,2,3.654110531,0.939043502,3.865548529,0.933372447
P15,0g,0,3,3.384932637,0.934867897,3.463843827,0.928846464
P15,0g,0,4,2.676931537,0.92020915,2.926312895,0.919334383
P15,0g,0,1,3.680083095,0.951684322,3.500908855,0.952307167
P15,0g,0,2,2.999220982,0.934564318,3.346403532,0.938856898
P15,0g,0,3,3.211373669,0.923353353,3.339652038,0.923699147
P15,0g,0,4,2.731498312,0.917527971,2.595170086,0.915683699
P15,0g,12,1,3.354597185,0.947219837,2.292003594,0.936156342
P15,0g,12,2,3.403414196,0.943042556,2.978736149,0.935344887
P15,0g,12,3,3.206349206,0.930083508,3.564839772,0.931250005
P15,0g,12,4,2.64001198,0.920689336,2.891883798,0.919786716
P15,0g,12,1,3.387978142,0.949849875,2.830080666,0.937862219
P15,0g,12,2,3.177985948,0.931190894,3.088212334,0.934942353
P15,0g,12,3,3.343741868,0.930765122,3.427790788,0.926212697
P15,0g,12,4,2.670049441,0.922172956,2.674212855,0.914744192
P15,0g,12,1,2.684351714,0.949234545,3.285543964,0.948697318
P15,0g,12,2,3.831892697,0.939908526,3.046199702,0.933910333
P15,0g,12,3,3.456631893,0.93064937,3.257824143,0.92397476
P15,0g,12,4,2.686140089,0.925999678,2.736214605,0.919509543
P15,0g,180,1,3.473454732,0.941058262,4.240574506,0.951977273
P15,0g,180,2,2.881508079,0.934246474,3.759938446,0.937296945
P15,0g,180,3,2.938702231,0.927538293,3.393177738,0.924436806
P15,0g,180,4,2.365221852,0.91477245,2.403180303,0.907325377
P15,0g,180,1,3.489848368,0.956724263,3.335903367,0.938906409
P15,0g,180,2,3.33153431,0.935392155,3.45463891,0.930578981
P15,0g,180,3,3.237471087,0.928206874,3.272937548,0.928168507
P15,0g,180,4,2.55615523,0.916723668,2.619121049,0.911402896
P15,0g,90,1,2.984504408,0.947537234,3.310179001,0.945110118
P15,0g,90,2,3.61928934,0.935401602,3.344109003,0.928526683
P15,0g,90,3,3.518033663,0.925860098,3.295752071,0.921553826
P15,0g,90,4,2.767031793,0.915192427,2.57654288,0.920003445
P15,0g,90,1,3.507896221,0.949272681,3.207275804,0.934739207
P15,0g,90,2,3.093062606,0.931956934,3.165256627,0.932469115
P15,0g,90,3,3.126621545,0.924273934,3.321206994,0.929494524
P15,0g,90,4,2.203891709,0.908182253,2.533840948,0.912452914
P15,0g,90,1,2.872890295,0.939494733,3.979694093,0.945974928
P15,0g,90,2,3.326740506,0.934558093,3.856540084,0.938095021
P15,0g,90,3,3.452267932,0.935417703,3.63185654,0.934728738
P15,0g,90,4,2.539293249,0.917884513,2.874736287,0.919119187
P15,25g,0,1,4.371232592,0.943649207,4.512991062,0.946980422
P15,25g,0,2,4.21367699,0.939764154,3.733111619,0.933771705
P15,25g,0,3,3.398461858,0.928499703,3.614217418,0.93105167
P15,25g,0,4,2.607358138,0.912623107,2.740594471,0.913444689
P15,25g,0,1,3.974320883,0.946065378,4.723259762,0.952390451
P15,25g,0,2,4.225806452,0.948690865,4.333828523,0.945302674
P15,25g,0,3,3.757852292,0.937934419,3.847198642,0.93394096
P15,25g,0,4,2.724320883,0.9241968,2.7024618,0.915875338
P15,25g,12,1,4.137058153,0.948068836,3.107411631,0.93268245
P15,25g,12,2,3.446066135,0.932837482,3.649714937,0.935947641
P15,25g,12,3,3.185404789,0.930510803,3.358038769,0.929853681
P15,25g,12,4,2.577423033,0.914160997,2.510148233,0.913103151
P15,25g,12,1,2.863182346,0.940200497,2.570499419,0.936975887
P15,25g,12,2,3.11242741,0.933225783,3.690592334,0.93441281
P15,25g,12,3,3.624622532,0.930965431,3.572590012,0.933364549
P15,25g,12,4,2.755400697,0.917428587,2.626248548,0.917636717
P15,25g,12,1,3.090680628,0.940598412,3.691518325,0.943680435
P15,25g,12,2,3.323141361,0.926817833,3.46513089,0.933570176
P15,25g,12,3,3.463246073,0.931213224,3.093612565,0.923386053
P15,25g,12,4,2.624502618,0.915627772,2.606910995,0.912559871
P15,25g,180,1,2.91315897,0.940015953,2.377809563,0.934907488
P15,25g,180,2,2.999387004,0.927114876,2.861258684,0.937882131
P15,25g,180,3,3.187372293,0.922186324,3.495300368,0.926427984
P15,25g,180,4,2.484266449,0.911196125,2.555578259,0.912580679
P15,25g,180,1,3.592830501,0.942580805,2.106299213,0.923971304
P15,25g,180,2,2.991504351,0.93267898,3.044757563,0.92815163
P15,25g,180,3,3.306879403,0.920573774,3.137795276,0.923009999
P15,25g,180,4,2.497099047,0.90931547,2.747617074,0.918837551
P15,25g,90,1,3.258346062,0.939676998,2.449923631,0.938082869
P15,25g,90,2,3.285184377,0.936894266,3.230416758,0.927805
P15,25g,90,3,3.137246345,0.92800357,3.245690596,0.927854803
